created_at,text
2019-03-13 11:55:46,"RT @Airin_NZ: Tutorial Goyang Jempol Jokowi Gaspol

Gw sedang ngebayangin, kayaknya kalau para Pendukung Jokowi buat Challenge #GoyangJempo…"
2019-03-13 11:55:46,@jokowi PUJA KERANG AJAIB 🤭😂🤣
2019-03-13 11:55:45,"RT @UusRsd: @BamsBulaksumur Petugas tonjok pendukung Jokowi &amp; Jokowi malah diam, presiden apa jongos, mas? 

Retuit kalo jongos
Like kalo p…"
2019-03-13 11:55:45,"@muslichsolo @heniunique @jokowi Couple di hitung 2 rmh....
Gmn klo deret ato rusun? 
Tentunya per 1 rmh waktunya l… https://t.co/Flo0d4fFlq"
2019-03-13 11:55:43,"RT @EAndesla: @RizmaWidiono @DivHumas_Polri @BareskrimPolri Tidak perlu aduan kan?
Ini fitnah yg nyata tentang fasal2 UU PKS?
Paling tidak…"
2019-03-13 11:55:42,"@detikcom @jokowi Jika presiden kagetan, berarti sdh dekat pemilu"
2019-03-13 11:55:41,"RT @iskandar__fauzi: PAK RIZAL RAMLI :
Who are you working for? 
Mr. Jokowi 
Anda bekerja untuk siapa? 
Anda bekerja utk petani luar Negeri…"
2019-03-13 11:55:40,"RT @jokowi: Terminal 3 Bandara Soekarno Hatta, Cengkareng yang modern. Luasnya lebih 42 ha, dilengkapi fasilitas mutakhir, termasuk skytrai…"
2019-03-13 11:55:40,"RT @pakdhe_J: 2014 Jokowi Menang Mutlak di Papua Sebesar 72,49 %
Tak menutup kemungkinan, Pilpres 2019, suara Jkw bisa 99% menang total!

K…"
2019-03-13 11:55:40,"@jokowi Masyaa Allah ya pak ... ""nasib"" menjadikan bapak Presiden sekarang dan tentu saja pengalaman mngajarkan unt… https://t.co/gcpwYY3Cja"
2019-03-13 11:55:40,RT @antaranews: Aktivis dan kelurga korban penculikan 1998 imbau pilih Jokowi https://t.co/GBECk0kcWa
2019-03-13 11:55:40,"RT @Airin_NZ: Tutorial Goyang Jempol Jokowi Gaspol

Gw sedang ngebayangin, kayaknya kalau para Pendukung Jokowi buat Challenge #GoyangJempo…"
2019-03-13 11:55:37,"RT @imayadewi: SBY tidak bisa lagi sembunyi kayak 2011-2018 

Di depan seolah2 oposisi Jokowi

Di belakang, SBY dalang utama Jokowi"
2019-03-13 11:55:34,@jokowi @prabowo Bangun. Bangun. #17AprilCoblosNomor2 #17AprilPrabowoPresiden ingat ketika nunjuk orang masih ada 3… https://t.co/v1DJiN7pLN
2019-03-13 11:55:33,"RT @EAndesla: @P3nj3l4j4h Tidak bisa hanya dg minta maaf. Dia telah buat Hoax dan fitnah. HRS ada yg laporkan dia ke @DivHumas_Polri 

Oran…"
2019-03-13 11:55:32,Penangkapan teroris di Sibolga - Sumatera Utara berdekatan dengan rencana Pak @jokowi meresmikan dermaga yang baru… https://t.co/NzowxdeksT
2019-03-13 11:55:32,"RT @detikcom: ""Yang saya rasakan sehari-hari, investor berbondong ke kita. ..Tapi, tidak ada yang terealisasi, ini yang salah di mana? Di p…"
2019-03-13 11:55:32,"RT @jokowi: Empat tahun terakhir, jembatan yang kita bangun di seluruh Indonesia jika disambung-sambungkan, panjangnya lebih dari 41 km! Da…"
2019-03-13 11:55:30,"RT @lokataru_id: Mari malam ini kita ke @KPK_RI, 700 hari sudah kasus Novel Baswedan, Negara &amp; Presiden @jokowi belum kunjung beri jawaban.…"
2019-03-13 11:55:29,RT @RamliRizal: Kebiasaan Tim Jokowi untuk over-claimed: tidak cerdas dan malu2-in. 😀🙏         Kim Jong Nam murder: Mahathir denies knowled…
2019-03-13 11:55:29,@Jaenudin_Nacir0 @fathurrochman6 @prabowo @jokowi Semoga punya kouta ... https://t.co/GUgDlfAYwy
2019-03-13 11:55:29,"RT @Rusydi_riau40: Survey LSI @DennyJA_WORLD
PASLON No. 01 = 58,7 %
PASLON No. 02 = 30,9 %
Apakah Sahabat Twips Yakin Dgn Hasil Tersebut ?…"
2019-03-13 11:55:29,Kenapa g lapor? Cari panggung? 😂🤣 apa dilobi jokowi karena elektabilitas nyungsep? Uuuhhhh kaciaaaannn boneka.... https://t.co/8cXNDuYNON
2019-03-13 11:55:28,"@habibthink terbaik pak jokowi, mudah-mudan setelah infrastruktur dibangun akses lebih mudah dan kemajuan ekonomi berkembang"
2019-03-13 11:55:26,"RT @malakmalakmal: Katanya kosa kata ""kafir"" itu kekerasan teologis. Tapi dibolehkan kalo pelakunya mereka2 sendiri. Kebodohan tanpa batas.…"
2019-03-13 11:55:24,RT @suciberani: Dan tentunya hal tersebut juga akan menjadi salah satu yang diperjuangkan Putu Artha nantinya bila terpilih selain karena i…
2019-03-13 11:55:23,"RT @lebihbaikjokowi: Kenapa bangun infrastruktur, Pak? Kenapa biaya sebesar itu untuk infrastruktur, Pak?

Tanya @C_lontong yang kemudian d…"
2019-03-13 11:55:23,"BPN Prabowo-Sandi: Lawan Kami Bukan TKN Jokowi-Maruf, Tapi Aparat Negara https://t.co/SEKLDZnopW"
2019-03-13 11:55:23,RT @suciberani: Hal tersebut lantaran menurut Putu Artha bahwa @jokowi cukup berhasil mengawal Pancasila. Sehingga ia ingin agar pondasi ya…
2019-03-13 11:55:22,"RT @RstCayah: Yg percaya pada pernyataan Aparat pengawal @prabowo silahkan RT . 
Yg masih percaya pelintiran para cebong @jokowi silahkan L…"
2019-03-13 11:55:22,"RT @Ferdinand_Haean: Wantimpres itu dewan pertiimbangan presiden yang diisi oleh orang-orang bijak, negarawan, bukan orang-orang yang menur…"
2019-03-13 11:55:21,@jokowi Klu sdh jelas bohongin rakyat Indonesia gmn tu ?
2019-03-13 11:55:21,"RT @suciberani: Dan apa yang menjadi kegelisahan dan cita-citanya untuk negeri ini tentu sejalan dengan apa yang diperjuangkan @NasDem , ya…"
2019-03-13 11:55:20,RT @setkabgoid: Presiden @jokowi dalam acara Penyerahan Dokumen Aksi Pencegahan Korupsi Tahun 2019 – 2020 dan Laporan Pelaksanaan Strategi…
2019-03-13 11:55:20,"RT @labib_mkl: Nderek dawuhi poro kyai insyaAllah selamat, @jokowi @PonpesLirboyo @Himasal_Lirboyo @yusuf_ch @cakimiNOW https://t.co/RM0IJX…"
2019-03-13 11:55:19,"RT @marierteman: untung dia capres 01
coba kalau capres 02

pasti dibilang nyinyir dah.

https://t.co/RKRypy2cFc"
2019-03-13 11:55:19,"RT @Cobeh09: Terkait Pembebasan Siti Aisyah
- Jokowi :
""Ini Hasil Dari Proses Panjang,
Upaya Pendekatan Yang Dilakukan Oleh
-Kedutaan,
-Kem…"
2019-03-13 11:55:19,"RT @Airin_NZ: @hana_4TAA Seru yaa..
Kalau dulu ada goyang Cesar kayaknya Goyang Jempol Jokowi Gaspol kayaknya seru nih..

@TheArieAir pie m…"
2019-03-13 11:55:18,"RT @ardi_riau: Saya rasa, @AntoniRaja ini kalau ngomong, ga gosok gigi dulu, jadi apa yang dia ucapkan, bau banget. @AntoniRaja , lu ngomon…"
2019-03-13 11:55:17,"@lebihbaikjokowi @C_lontong @jokowi Harusnya tanya ""Kenapa hutang buat bangus infrastruktur?""
Kenapa kebanyakan swa… https://t.co/n4jmeO4myA"
2019-03-13 11:55:17,"@antaranews YA, INGAT KORBAN PENCULIKAN YANG DILAKUKAN SERDADU BIADAB PRABOWO.

DAN JANGAN LUPAKAN KORBAN GENOSIDA… https://t.co/liHc5OGOVc"
2019-03-13 11:55:17,"BPN Prabowo-Sandi: Lawan Kami Bukan TKN Jokowi-Maruf, Tapi Aparat Negara https://t.co/LXOWEcOIux"
